file,duration_sec,analyzed_from_sec,base_frequency_hz,band,frequency_hz,relative_frequency_hz,level_db,prominence_db
01_Multifonic rolmo.wav,10.300291666666666,3.4334166666666666,468.75,1,503.90625,35.15625,20.46807101165288,1.7383453920787453
02_Multifonic lower.wav,10.6610625,3.5536875,609.375,1,632.8125,23.4375,21.27430313584604,3.465961443574278
03_Multifonic lower.wav,11.071583333333333,3.6905208333333333,597.65625,1,1945.3125,1347.65625,-1.690617366381996,1.8840499035828135
03_Multifonic lower.wav,11.071583333333333,3.6905208333333333,597.65625,2,3246.09375,2648.4375,-15.522483784826209,1.517597415162042
04_Multifonic lower.wav,10.499354166666667,3.4997708333333333,539.0625,1,597.65625,58.59375,23.026968848225142,3.2983991403321724
05_Multifonic lower.wav,8.7701875,2.923395833333333,515.625,1,550.78125,35.15625,25.410097002197503,3.4260885244984394
05_Multifonic lower.wav,8.7701875,2.923395833333333,515.625,2,1957.03125,1441.40625,-1.6037058228292704,3.587540849764123
05_Multifonic lower.wav,8.7701875,2.923395833333333,515.625,3,4113.28125,3597.65625,-18.977884429975177,1.5328018140341797
06_Multifonic lower.wav,8.907020833333334,2.969,527.34375,1,562.5,35.15625,28.23046797533014,1.8797552175769177
06_Multifonic lower.wav,8.907020833333334,2.969,527.34375,2,1980.46875,1453.125,3.4952248412594593,2.894991886094178
07_Multifonic fujara - long shepherd pipe.wav,8.583583333333333,2.8611875,468.75,1,480.46875,11.71875,15.526760479709374,3.5522456904284274
07_Multifonic fujara - long shepherd pipe.wav,8.583583333333333,2.8611875,468.75,2,2121.09375,1652.34375,-15.786076002582586,2.914820703737
08_Multifonic higher.wav,7.8620625,2.6206875,621.09375,1,656.25,35.15625,24.496433835370595,3.1367654353466534
08_Multifonic higher.wav,7.8620625,2.6206875,621.09375,2,1957.03125,1335.9375,-0.8378484763230208,2.283343655317083
09_Multifonic higher.wav,9.3673125,3.1224375,539.0625,1,585.9375,46.875,25.478392329958226,1.6663800184202842
09_Multifonic higher.wav,9.3673125,3.1224375,539.0625,2,1980.46875,1441.40625,5.673740402998067,1.7661821399243063
10_Multifonic higher.wav,9.218020833333334,3.0726666666666667,550.78125,1,585.9375,35.15625,21.8422810810922,4.130865294045117
10_Multifonic higher.wav,9.218020833333334,3.0726666666666667,550.78125,2,2027.34375,1476.5625,-1.7942128147149368,4.717378363828496
10_Multifonic higher.wav,9.218020833333334,3.0726666666666667,550.78125,3,4511.71875,3960.9375,-15.768705851401235,1.6325996386751616
11_Multifonic higher.wav,8.4094375,2.8031458333333332,210.9375,1,1078.125,867.1875,11.344311090102222,1.8295613070428018
11_Multifonic higher.wav,8.4094375,2.8031458333333332,210.9375,2,2003.90625,1792.96875,-6.151211964657241,2.763925188667665
11_Multifonic higher.wav,8.4094375,2.8031458333333332,210.9375,3,4816.40625,4605.46875,-14.279144964557815,2.6622651615600823
11_Multifonic higher.wav,8.4094375,2.8031458333333332,210.9375,4,8859.375,8648.4375,-20.129642742456056,2.3255463330548203
11_Multifonic higher.wav,8.4094375,2.8031458333333332,210.9375,5,9750.0,9539.0625,-24.301408351394404,1.6813705589511905
12_Bissbigliando.wav,13.963875,4.654625,539.0625,1,597.65625,58.59375,0.6221002553369276,2.285987713573214
12_Bissbigliando.wav,13.963875,4.654625,539.0625,2,1980.46875,1441.40625,-19.01424573536389,1.9601880175442616
13_Colour sound.wav,15.027479166666666,5.009145833333333,480.46875,1,480.46875,0.0,-12.818231787793742,2.1189124764246667
13_Colour sound.wav,15.027479166666666,5.009145833333333,480.46875,2,2097.65625,1617.1875,-30.56451266901153,1.744590391650263
14_Sing tone.wav,10.598854166666667,3.5329375,503.90625,1,515.625,11.71875,24.371665059077863,5.390402180593387
14_Sing tone.wav,10.598854166666667,3.5329375,503.90625,2,1218.75,714.84375,14.55153361057408,2.8358297975477615
14_Sing tone.wav,10.598854166666667,3.5329375,503.90625,3,2062.5,1558.59375,-0.9714739898085019,3.127240957663246
14_Sing tone.wav,10.598854166666667,3.5329375,503.90625,4,3703.125,3199.21875,-14.546899739744887,1.682645855180633
14_Sing tone.wav,10.598854166666667,3.5329375,503.90625,5,4628.90625,4125.0,-18.42217617233847,1.9950798004043229
15_Slaps with reed and without reed.wav,16.57004166666667,5.523333333333333,210.9375,1,1980.46875,1769.53125,-23.829261746563173,1.538285997272265
